City ID,City Name,Country Code,Latitude,Longitude,Temperature(°F),Humidity(%),Cloudiness(%),Wind Speed (mph)
2206939,Bluff,NZ,-46.6,168.33,59.26,100,80,24.07
1852357,Shimoda,JP,34.7,138.93,42.52,100,88,9.08
3471451,Arraial do Cabo,BR,-22.97,-42.02,85.12,79,40,11.41
6096551,Pangnirtung,CA,66.15,-65.72,-13.01,51,90,10.29
4030556,Rikitea,PF,-23.12,-134.97,80.64,100,76,4.72
1006984,East London,ZA,-33.02,27.91,73.4,88,0,10.29
964432,Port Alfred,ZA,-33.59,26.89,74.65,77,0,14.67
3460087,Jardim,BR,-21.48,-56.15,83.65,47,0,10.76
934649,Cap Malheureux,MU,-19.98,57.61,77.0,94,75,4.27
2374583,Bubaque,GW,11.28,-15.83,80.6,65,0,10.29
2729907,Longyearbyen,SJ,78.22,15.64,24.8,58,20,14.99
1804169,Lengshuijiang,CN,27.66,111.45,32.22,88,8,2.59
2017155,Saskylakh,RU,71.97,114.09,-28.27,45,0,3.15
124193,Meybod,IR,32.25,54.02,53.6,71,40,11.41
2347209,Bida,NG,9.08,6.02,76.32,90,44,2.37
3366880,Hermanus,ZA,-34.42,19.24,62.41,92,48,2.59
6170031,Tuktoyaktuk,CA,69.44,-133.03,13.59,85,75,9.17
49747,Xuddur,SO,4.12,43.89,67.36,49,0,5.73
3418910,Upernavik,GL,72.79,-56.15,-5.45,100,32,7.4
2075720,Broome,AU,-17.97,122.23,80.6,83,40,4.7
1495626,Pangody,RU,65.85,74.49,-29.62,49,12,6.4
2411397,Georgetown,SH,-7.93,-14.42,78.8,74,40,16.11
3355672,Luderitz,NA,-26.65,15.16,68.0,82,48,10.29
2636744,Lifford,IE,54.83,-7.48,42.8,81,40,18.34
2122090,Pevek,RU,69.7,170.27,-1.54,82,48,14.67
1252919,Warud,IN,21.47,78.27,61.06,71,0,2.37
2163355,Hobart,AU,-42.88,147.33,59.0,87,0,9.17
3662761,Porto Walter,BR,-8.27,-72.74,92.2,52,48,2.37
2126123,Chokurdakh,RU,70.62,147.9,-17.24,77,76,13.0
3874787,Punta Arenas,CL,-53.16,-70.91,60.69,45,40,29.97
6089245,Norman Wells,CA,65.28,-126.83,12.2,72,90,3.36
2075265,Busselton,AU,-33.64,115.35,65.52,100,32,20.38
934322,Mahebourg,MU,-20.41,57.7,77.0,94,75,1.92
2127202,Anadyr,RU,64.73,177.51,-4.01,76,0,11.18
3687975,Calamar,CO,1.96,-72.65,96.52,25,32,5.73
5367788,Lompoc,US,34.64,-120.46,54.82,54,20,14.99
